type;array_dim;bandwidth
stable;1024;3.21159e+08
stable;2048;6.16515e+08
stable;4096;1.21581e+09
stable;8192;2.4502e+09
stable;16384;4.71971e+09
stable;32768;8.49264e+09
stable;65536;1.6018e+10
stable;131072;3.03274e+10
stable;262144;3.56984e+10
stable;524288;8.66971e+10
stable;1048576;1.597e+11
stable;2097152;2.42493e+11
stable;4194304;2.63368e+11
stable;8388608;3.30384e+11
stable;16777216;3.68831e+11
stable;33554432;3.78775e+11
stable;67108864;4.0207e+11
stable;134217728;4.12873e+11
stable_vec2;1024;2.03988e+08
stable_vec2;2048;4.1362e+08
stable_vec2;4096;8.18725e+08
stable_vec2;8192;1.93303e+09
stable_vec2;16384;5.13291e+09
stable_vec2;32768;9.64204e+09
stable_vec2;65536;1.77465e+10
stable_vec2;131072;3.37085e+10
stable_vec2;262144;5.02731e+10
stable_vec2;524288;7.04655e+10
stable_vec2;1048576;1.65173e+11
stable_vec2;2097152;2.38007e+11
stable_vec2;4194304;2.72098e+11
stable_vec2;8388608;3.29198e+11
stable_vec2;16777216;3.69094e+11
stable_vec2;33554432;3.88006e+11
stable_vec2;67108864;3.95892e+11
stable_vec2;134217728;4.0736e+11
stable_vec4;1024;2.08707e+08
stable_vec4;2048;4.11542e+08
stable_vec4;4096;8.17173e+08
stable_vec4;8192;1.6926e+09
stable_vec4;16384;5.23467e+09
stable_vec4;32768;1.0229e+10
stable_vec4;65536;1.93182e+10
stable_vec4;131072;3.52065e+10
stable_vec4;262144;4.4629e+10
stable_vec4;524288;7.99055e+10
stable_vec4;1048576;1.59107e+11
stable_vec4;2097152;2.40394e+11
stable_vec4;4194304;2.68217e+11
stable_vec4;8388608;3.34267e+11
stable_vec4;16777216;3.72623e+11
stable_vec4;33554432;3.80819e+11
stable_vec4;67108864;3.99031e+11
stable_vec4;134217728;4.12341e+11
warp_atomic;1024;9.63737e+07
warp_atomic;2048;1.95685e+08
warp_atomic;4096;3.97119e+08
warp_atomic;8192;8.05126e+08
warp_atomic;16384;2.33728e+09
warp_atomic;32768;4.63683e+09
warp_atomic;65536;9.15199e+09
warp_atomic;131072;1.1555e+10
warp_atomic;262144;1.91896e+10
warp_atomic;524288;3.39902e+10
warp_atomic;1048576;1.10274e+11
warp_atomic;2097152;1.75482e+11
warp_atomic;4194304;2.27221e+11
warp_atomic;8388608;2.93565e+11
warp_atomic;16777216;3.48071e+11
warp_atomic;33554432;3.85254e+11
warp_atomic;67108864;4.00133e+11
warp_atomic;134217728;4.07268e+11
warp_atomic_vec2;1024;9.91926e+07
warp_atomic_vec2;2048;1.98386e+08
warp_atomic_vec2;4096;5.85863e+08
warp_atomic_vec2;8192;1.28384e+09
warp_atomic_vec2;16384;2.50927e+09
warp_atomic_vec2;32768;4.83382e+09
warp_atomic_vec2;65536;9.5466e+09
warp_atomic_vec2;131072;1.24271e+10
warp_atomic_vec2;262144;2.39427e+10
warp_atomic_vec2;524288;4.04676e+10
warp_atomic_vec2;1048576;9.64314e+10
warp_atomic_vec2;2097152;1.76956e+11
warp_atomic_vec2;4194304;2.29489e+11
warp_atomic_vec2;8388608;2.95603e+11
warp_atomic_vec2;16777216;3.4772e+11
warp_atomic_vec2;33554432;3.83226e+11
warp_atomic_vec2;67108864;3.91438e+11
warp_atomic_vec2;134217728;4.0551e+11
warp_atomic_vec4;1024;9.86104e+07
warp_atomic_vec4;2048;2.00238e+08
warp_atomic_vec4;4096;3.96312e+08
warp_atomic_vec4;8192;1.29051e+09
warp_atomic_vec4;16384;2.50372e+09
warp_atomic_vec4;32768;4.9287e+09
warp_atomic_vec4;65536;9.58423e+09
warp_atomic_vec4;131072;1.27486e+10
warp_atomic_vec4;262144;2.33999e+10
warp_atomic_vec4;524288;4.05772e+10
warp_atomic_vec4;1048576;1.1338e+11
warp_atomic_vec4;2097152;1.83489e+11
warp_atomic_vec4;4194304;2.24593e+11
warp_atomic_vec4;8388608;3.00624e+11
warp_atomic_vec4;16777216;3.50177e+11
warp_atomic_vec4;33554432;3.85601e+11
warp_atomic_vec4;67108864;4.01551e+11
warp_atomic_vec4;134217728;4.07889e+11
block_atomic;1024;9.69986e+07
block_atomic;2048;2.92179e+08
block_atomic;4096;6.28134e+08
block_atomic;8192;1.21384e+09
block_atomic;16384;2.35019e+09
block_atomic;32768;4.70203e+09
block_atomic;65536;9.20663e+09
block_atomic;131072;1.79997e+10
block_atomic;262144;1.9958e+10
block_atomic;524288;5.1216e+10
block_atomic;1048576;1.02995e+11
block_atomic;2097152;1.71985e+11
block_atomic;4194304;2.26368e+11
block_atomic;8388608;2.94642e+11
block_atomic;16777216;3.47684e+11
block_atomic;33554432;3.85085e+11
block_atomic;67108864;4.02e+11
block_atomic;134217728;4.08616e+11
block_atomic_vec2;1024;9.60164e+07
block_atomic_vec2;2048;2.97206e+08
block_atomic_vec2;4096;6.2799e+08
block_atomic_vec2;8192;1.25694e+09
block_atomic_vec2;16384;2.43958e+09
block_atomic_vec2;32768;4.78201e+09
block_atomic_vec2;65536;9.3785e+09
block_atomic_vec2;131072;1.83294e+10
block_atomic_vec2;262144;2.12421e+10
block_atomic_vec2;524288;5.85381e+10
block_atomic_vec2;1048576;1.08911e+11
block_atomic_vec2;2097152;1.7381e+11
block_atomic_vec2;4194304;2.24863e+11
block_atomic_vec2;8388608;2.95311e+11
block_atomic_vec2;16777216;3.4685e+11
block_atomic_vec2;33554432;3.76967e+11
block_atomic_vec2;67108864;3.93371e+11
block_atomic_vec2;134217728;4.04305e+11
block_atomic_vec4;1024;1.04941e+08
block_atomic_vec4;2048;3.153e+08
block_atomic_vec4;4096;6.30018e+08
block_atomic_vec4;8192;1.26676e+09
block_atomic_vec4;16384;2.48849e+09
block_atomic_vec4;32768;4.86215e+09
block_atomic_vec4;65536;9.40744e+09
block_atomic_vec4;131072;1.83821e+10
block_atomic_vec4;262144;2.28114e+10
block_atomic_vec4;524288;5.75644e+10
block_atomic_vec4;1048576;1.13331e+11
block_atomic_vec4;2097152;1.77886e+11
block_atomic_vec4;4194304;2.30974e+11
block_atomic_vec4;8388608;2.98797e+11
block_atomic_vec4;16777216;3.58792e+11
block_atomic_vec4;33554432;3.898e+11
block_atomic_vec4;67108864;3.99782e+11
block_atomic_vec4;134217728;4.10847e+11
