blocks;dim64;dim128;dim256;dim512;dim1024
2;42.9904;82.9869;137.461;170.235;177.488
4;83.2492;137.924;170.745;177.606;177.007
8;137.393;171.687;177.606;176.958;176.496
16;133.518;164.268;177.195;176.241;175.597
32;158.458;174.398;176.669;176.276;175.14
64;156.406;172.373;176.857;175.784;171.926
128;163.537;175.709;175.659;172.573;161.333
256;161.961;175.398;175;174.534;150.935
512;160.417;174.115;176.187;170.341;133.202
1024;157.868;174.63;175.338;145.451;118.088
2048;156.744;169.98;159.56;141.738;67.4496
4096;139.007;151.088;140.474;85.6772;37.1804
