blocks;dim64;dim128;dim256;dim512;dim1024
2;42.9994;83.1045;137.579;170.45;177.109
4;83.1387;137.341;171.387;177.107;176.93
8;137.602;171.803;177.593;176.958;175.803
16;133.113;164.381;176.833;176.714;175.593
32;157.854;174.857;176.818;176.272;175.051
64;157.117;173.297;176.192;175.398;172.019
128;163.933;175.808;175.566;173.19;160.146
256;162.753;174.754;175.599;174.515;149.766
512;159.803;174.18;176.1;169.398;132.581
1024;158.277;174.614;175.987;146.821;118.07
2048;156.663;169.552;159.607;141.597;67.4363
4096;139.372;152.047;140.921;85.6557;37.1755
