blocks;dim64;dim128;dim256;dim512;dim1024
2;43.9921;85.7402;138.735;171.004;177.149
4;85.7039;138.584;170.887;177.121;177.61
8;139.217;171.485;177.162;177.351;177.048
16;171.581;177.342;177.448;177.315;175.737
32;171.996;176.772;176.861;176.495;174.115
64;170.872;176.919;176.207;174.626;171.694
128;171.147;175.921;175.107;170.272;161.73
256;169.122;174.704;174.595;172.518;146.728
512;168.89;175.301;175.393;163.8;127.254
1024;165.725;175.195;172.824;140.218;103.305
2048;165.559;173.719;149.711;126.302;56.6907
4096;153.486;155.383;134.263;69.9861;30.4157
