blocks_per_sm;throughput-64;throughput-128;throughput-256;throughput-512;throughput-1024
1;124.32;208.932;318.386;387.927;392.939
2;209.707;316.912;386.442;394.32;357.845
4;328.607;376.567;389.67;364.628;366.216
8;397.646;392.203;385.27;370.932;373.506
16;391.372;380.413;391.349;378.309;379.287
32;390.842;380.495;393.05;383.505;385.017
64;395.003;385.819;393.004;387.834;388.72
128;396.65;388.381;393.435;390.897;391.562
256;397.057;389.932;393.053;392.583;394.075
512;396.919;391.931;393.487;393.771;395.725
1024;397.567;393.77;394.253;395.221;398.043
2048;397.133;396.016;396.002;398.461;398.844
4096;396.955;397.654;398.786;399.358;395.161
