blocks_per_sm;throughput-64;throughput-128;throughput-256;throughput-512;throughput-1024
1;410.045;436.205;436.013;224.445;200.083
2;435.973;292.437;434.931;229.34;211.433
4;436.208;292.537;435.536;243.974;225.933
8;435.634;291.882;434.631;259.474;236.377
16;435.715;296.881;435.196;259.71;277.742
32;435.023;311.15;434.657;264.839;276.877
64;435.618;327.895;433.199;276.001;305.376
128;433.665;338.642;432.937;311.499;379.27
256;435.595;346.904;432.993;382.775;410.348
512;435.625;357.863;433.922;424.175;435.042
1024;435.574;382.602;434.83;434.834;435.944
2048;435.681;410.496;434.813;435.731;436.131
4096;435.733;429.084;435.43;436.247;434.396
