blocks_per_sm;throughput-64;throughput-128;throughput-256;throughput-512;throughput-1024
1;121.569;206.313;315.051;390.581;395.014
2;206.369;313.033;395.748;397.353;368.915
4;324.513;388.643;399.192;375.646;375.923
8;390.749;396.999;390.166;379.367;381.76
16;399.203;387.978;394.546;383.639;385.789
32;394.45;385.665;396.554;388.545;390.008
64;398.221;390.265;397.157;392.846;393.385
128;399.291;392.9;396.706;395.16;395.596
256;399.957;394.616;396.804;396.674;397.62
512;400.399;396.327;397.489;397.021;398.972
1024;400.454;397.773;397.751;398.857;400.853
2048;400.394;399.39;399.368;401.341;402.06
4096;400.327;400.576;401.736;402.182;389.474
