blocks_per_sm;throughput-64;throughput-128;throughput-256;throughput-512;throughput-1024
1;317.292;442.631;442.577;224.901;201.306
2;442.672;295.463;442.24;230.777;210.107
4;442.74;295.572;441.889;272.803;237.769
8;442.51;295.807;441.405;296.558;279.483
16;442.172;300.586;441.714;312.557;319.488
32;441.62;327.36;441.862;337.986;355.484
64;442.159;340.327;441.741;366.142;375.31
128;442.172;345.964;441.728;382.167;392.612
256;442.172;353.852;441.647;392.187;424.683
512;442.186;366.244;441.795;423.814;441.606
1024;442.172;388.789;441.903;441.485;442.51
2048;442.159;417.743;442.267;442.51;442.658
4096;442.24;436.25;442.294;442.685;442.604
