blocks_per_sm;throughput-64;throughput-128;throughput-256;throughput-512;throughput-1024
1;42.9204;80.5516;129.543;154.028;160.388
2;80.4729;129.58;153.812;160.469;160.027
4;130.399;153.529;160.32;159.997;160.155
8;153.491;160.264;159.861;160.09;160.367
16;160.41;159.924;160.07;160.144;160.341
32;160.262;160.056;160.042;160.139;160.998
64;160.365;160.001;159.985;160.51;161.165
128;161.238;159.968;160.598;161.084;162.049
256;160.605;160.563;160.786;161.959;163.049
512;160.489;160.602;161.314;162.816;163.787
1024;160.551;160.785;161.663;163.659;166.872
2048;160.753;161.426;163.331;166.362;170.987
4096;161.86;163.281;166.881;171.245;175.369
8192;164.15;167.178;171.24;174.841;178.909
