blocks_per_sm;throughput-64;throughput-128;throughput-256;throughput-512;throughput-1024
1;42.9819;80.6048;129.847;153.799;160.501
2;80.7222;129.843;153.631;160.464;160.002
4;130.551;153.61;160.38;160.056;160.124
8;153.678;160.222;159.94;160.245;160.123
16;160.393;159.846;160.087;160.111;160.535
32;160.219;160.046;160.014;160.007;160.909
64;160.349;159.895;160.246;160.631;161.355
128;160.769;160.079;160.507;160.971;162.067
256;160.555;160.581;160.897;161.899;163.663
512;160.53;160.75;161.367;162.116;164.098
1024;160.618;160.888;161.744;163.209;166.477
2048;160.786;161.441;163.273;166.897;170.769
4096;161.886;163.475;167.015;171.581;174.852
8192;164.23;166.599;171.085;174.956;178.383
