blocks_per_sm;throughput-64;throughput-128;throughput-256;throughput-512;throughput-1024
1;73.2968;146.552;176.641;177.739;178.046
2;146.498;176.258;177.691;178.318;176.476
4;176.032;177.021;177.629;176.665;176.695
8;177.146;177.224;176.516;176.937;176.992
16;177.091;176.678;176.671;176.895;176.935
32;177.318;176.833;176.703;175.274;178.437
64;177.361;176.198;175.892;177.665;179.144
128;175.17;176.198;176.78;178.628;180.336
256;176.746;176.536;178.355;180.045;181.37
512;177.537;176.201;177.813;181.073;180.928
1024;176.908;177.065;178.376;181.09;182.89
2048;177.798;178.021;180.042;182.903;184.841
4096;177.807;180.053;182.88;185.924;186.393
8192;179.73;182.694;186.405;187.334;186.269
