blocks_per_sm;throughput-64;throughput-128;throughput-256;throughput-512;throughput-1024
1;43.512;81.566;130.562;154.197;160.248
2;81.5723;130.465;154.053;160.152;160.31
4;130.573;154.063;160.185;160.17;160.366
8;154.067;160.072;160.019;160.391;160.639
16;160.157;160.06;160.188;160.24;161.007
32;160.333;160.188;160.17;160.538;160.495
64;160.992;159.954;160.105;160.402;161.293
128;171.957;159.956;160.058;160.765;162.227
256;161.394;160.009;160.617;161.507;162.683
512;160.386;160.573;161.179;162.442;163.898
1024;160.735;160.595;161.422;163.032;166.808
2048;161.072;161.446;163.3;167.018;171.42
4096;161.968;163.29;166.652;171.658;176.004
8192;164.953;166.661;171.591;175.446;181.853
