blocks_per_sm;throughput-64;throughput-128;throughput-256;throughput-512;throughput-1024
1;71.327;142.606;177.215;178.116;178.201
2;142.61;176.924;177.949;178.24;176.692
4;176.535;178.12;177.845;176.657;177.028
8;177.005;177.622;176.585;176.979;176.943
16;177.123;176.528;176.924;176.781;176.013
32;177.484;176.893;176.384;175.47;177.586
64;178.18;175.996;174.989;177.552;178.935
128;175.148;174.852;177.191;178.055;179.65
256;175.847;177.055;177.9;179.589;180.317
512;176.909;176.407;178.407;180.392;180.949
1024;177.102;177.36;178.716;180.834;182.404
2048;178.028;178.144;180.394;182.738;185.069
4096;177.802;180.247;182.905;185.861;186.49
8192;179.905;182.894;186.427;187.448;186.633
